"管理用番号","市町村コード","基準地番号・標準地番号(最新年)","地価調査・地価公示の別","用途","所在(市町村名)","所在(大字以降)","所在(住居表示)","経度(世界測地系)","緯度(世界測地系)","平成5年(1993)","平成6年(1994)","平成7年(1995)","平成8年(1996)","平成9年(1997)","平成10年(1998)","平成11年(1999)","平成12年(2000)","平成13年(2001)","平成14年(2002)","平成15年(2003)","平成16年(2004)","平成17年(2005)","平成18年(2006)","平成19年(2007)","平成20年(2008)","平成21年(2009)","平成22年(2010)","平成23年(2011)","平成24年(2012)","平成25年(2013)","平成26年(2014)","平成27年(2015)","平成28年(2016)","平成29年(2017)","経度","緯度","分類"
"22","302015","【旧】和歌山(県)-22(平成24年廃止)","地価調査(廃止地点)","住宅","和歌山市","中字宮東３２８番５","","135.143","34.2641","115000","115000","115000","112000","111000","107000","97000","89000","83200","75500","67600","60500","54500","51200","48100","48100","46900","46000","45100","0","","","","","","135.14327711046","34.2640795834353","地価調査基準地(廃止地点)"
"27","302015","【旧】和歌山(県)-27(平成22年廃止)","地価調査(廃止地点)","住宅","和歌山市","加太字楠ノ木７４６番６１","","135.079","34.2733","99500","99500","99500","98000","96500","92600","84500","78400","73300","68200","63000","58200","54000","51800","49700","48000","45500","0","0","0","","","","","","135.079446534439","34.2733284834158","地価調査基準地(廃止地点)"
"28","302015","【旧】和歌山(県)-28(平成25年廃止)","地価調査(廃止地点)","住宅","和歌山市","吹上４丁目６番１５","吹上４－２－３１","135.172","34.2162","350000","340000","326000","309000","287000","260000","235000","223000","212000","201000","190000","180000","178000","178000","178000","178000","176000","173000","171000","171000","","","","","","135.17200196054","34.2161581364814","地価調査基準地(廃止地点)"
"32","302015","【旧】和歌山(県)-32(平成22年廃止)","地価調査(廃止地点)","住宅","和歌山市","有本字焼野５７７番３４","","135.193","34.2496","144000","144000","142000","141000","140000","136000","128000","118000","114000","108000","101000","96000","91000","85000","83300","78300","72900","0","0","0","","","","","","135.193026268962","34.2496233521307","地価調査基準地(廃止地点)"
"33","302015","【旧】和歌山(県)-33(平成23年廃止)","地価調査(廃止地点)","住宅","和歌山市","西庄字清田２５０番６","","135.12","34.2595","0","0","0","0","134000","123000","110000","100000","91500","84300","78800","71300","65700","63200","61900","60500","58500","56200","0","0","","","","","","135.119568410982","34.2594855635713","地価調査基準地(廃止地点)"
"34","302015","【旧】和歌山(県)-34(平成22年廃止)","地価調査(廃止地点)","住宅","和歌山市","園部字柳谷１６１３番７３","","135.198","34.2702","113000","113000","112000","112000","110000","98500","86800","81000","75300","66500","58000","53000","48400","45500","42000","40000","38500","0","0","0","","","","","","135.198189158847","34.2701741441445","地価調査基準地(廃止地点)"
"35","302015","【旧】和歌山(県)-35(平成22年廃止)","地価調査(廃止地点)","住宅","和歌山市","木ノ本字東岩目２９５番９","","135.126","34.2592","130000","130000","130000","128000","124000","115000","104000","94000","85000","80000","74000","68000","61000","57300","56000","55500","53800","0","0","0","","","","","","135.125669904533","34.2592237348521","地価調査基準地(廃止地点)"
"36","302015","【旧】和歌山(県)-36(平成22年廃止)","地価調査(廃止地点)","住宅","和歌山市","土入字江田２８番１９","","135.142","34.2525","0","0","0","148000","143000","137000","124000","115000","106000","98000","90800","84000","77700","73800","73800","71000","68500","0","0","0","","","","","","135.142185638014","34.2524688700791","地価調査基準地(廃止地点)"
"37","302015","【旧】和歌山(県)-37(平成22年廃止)","地価調査(廃止地点)","住宅","和歌山市","船所字西ノ口３番１１","","135.18","34.2528","122000","122000","121000","121000","116000","111000","98600","91000","85300","80700","77500","74000","70000","67700","65500","63500","61500","0","0","0","","","","","","135.179653328729","34.252793684767","地価調査基準地(廃止地点)"
"52","302015","【旧】和歌山(県)5-11(平成22年廃止)","地価調査(廃止地点)","商業","和歌山市","北野字中尾３０６番７","","135.248","34.2692","0","0","0","0","0","135000","122000","115000","109000","102000","96000","88300","81200","76500","74000","72400","70000","0","0","0","","","","","","135.247883165875","34.2692166992882","地価調査基準地(廃止地点)"
"53","302015","【旧】和歌山(県)5-12(平成22年廃止)","地価調査(廃止地点)","商業","和歌山市","和歌浦西１丁目３８５番４","和歌浦西１－１－１４","135.17","34.1979","389000","358000","305000","262000","230000","207000","190000","178000","165000","154000","143000","132000","121000","115000","110000","108000","105000","0","0","0","","","","","","135.169671384311","34.1979290412984","地価調査基準地(廃止地点)"
"54","302015","【旧】和歌山(県)5-13(平成22年廃止)","地価調査(廃止地点)","商業","和歌山市","和歌浦東３丁目６４７番２０","和歌浦東３－５－５１","135.178","34.1882","0","0","0","0","0","0","0","0","0","154000","141000","131000","121000","118000","115000","114000","110000","0","0","0","","","","","","135.177824713309","34.1882295445785","地価調査基準地(廃止地点)"
"58","302015","【旧】和歌山(県)5-17(平成22年廃止)","地価調査(廃止地点)","商業","和歌山市","毛革屋丁２２番","","135.183","34.2309","0","0","0","0","570000","501000","432000","389000","346000","305000","273000","240000","220000","207000","207000","205000","200000","0","0","0","","","","","","135.182655769424","34.230895233556","地価調査基準地(廃止地点)"
"64","302015","【旧】和歌山(県)7-3(平成22年廃止)","地価調査(廃止地点)","準工","和歌山市","東布経丁３丁目１番","","135.172","34.2395","0","0","0","0","0","198000","180000","169000","159000","150000","134000","125000","117000","115000","114000","112000","106000","0","0","0","","","","","","135.171816499641","34.2395290039545","地価調査基準地(廃止地点)"
"69","302015","【旧】和歌山(県)10-4(平成24年廃止)","地価調査(廃止地点)","調区","和歌山市","中字枇杷谷５８３番４１","","135.147","34.2704","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","62500","61800","60500","60500","0","","","","","","135.147185603872","34.2704097670952","地価調査基準地(廃止地点)"
"77","302023","【旧】海南(県)-8(平成22年廃止)","地価調査(廃止地点)","住宅","海南市","且来字井ノ浦４３６番４","","135.246","34.173","0","0","0","0","0","0","0","0","0","0","0","48300","45400","43000","40900","39300","38100","0","0","0","","","","","","135.245872204004","34.1729662179107","地価調査基準地(廃止地点)"
"81","302023","【旧】海南(県)5-1(平成23年廃止)","地価調査(廃止地点)","商業","海南市","船尾字居村濱１５４番８","","135.203","34.1611","0","0","0","0","0","0","0","0","0","0","0","108000","100000","94000","89500","86100","82700","79100","0","0","","","","","","135.203070488276","34.1610536554233","地価調査基準地(廃止地点)"
